--------------------------------------------------------------
step        printed     dt(s)       time(s)     progress    
--------------------------------------------------------------
0           0           0.001       0           0%          
1           1           4.01318e-10 4.01318e-10 0%          
2           2           3.30441e-08 3.34454e-08 0%          
3           3           5.42873e-07 5.76318e-07 0%          
4           4           1.08575e-05 1.14338e-05 0%          
5           5           0.000139815 0.000151249 0%          
6           6           0.000374181 0.00052543  0%          
7           7           0.000878421 0.00140385  0%          
8           8           0.000560576 0.00196443  0%          
9           9           0.000411343 0.00237577  0%          
10          10          0.000411343 0.00278711  0%          
11          11          0.000375247 0.00316236  0%          
12          12          0.000768589 0.00393095  0%          
13          13          0.000627994 0.00455894  0%          
14          14          0.000627994 0.00518694  0%          
15          15          0.000627994 0.00581493  0%          
16          16          0.000627994 0.00644293  0%          
17          17          0.000972708 0.00741563  0%          
18          18          0.000972708 0.00838834  0%          
19          19          0.000972708 0.00936105  0%          
20          20          0.000967171 0.0103282   1%          
21          21          0.000967171 0.0112954   1%          
22          22          0.000967171 0.0122626   1%          
23          23          0.000967171 0.0132297   1%          
24          24          0.000772898 0.0140026   1%          
25          25          0.001       0.0150026   1%          
26          26          0.001       0.0160026   1%          
27          27          0.001       0.0170026   1%          
28          28          0.000871721 0.0178743   1%          
29          29          0.000688403 0.0185628   1%          
30          30          0.000688403 0.0192512   1%          
31          31          0.000622812 0.019874    1%          
32          32          0.001       0.020874    2%          
33          33          0.001       0.021874    2%          
34          34          0.000736805 0.0226108   2%          
35          35          0.000736805 0.0233476   2%          
36          36          0.001       0.0243476   2%          
37          37          0.001       0.0253476   2%          
38          38          0.001       0.0263476   2%          
39          39          0.000846307 0.0271939   2%          
40          40          0.001       0.0281939   2%          
41          41          0.001       0.0291939   2%          
42          42          0.001       0.0301939   3%          
43          43          0.000878684 0.0310726   3%          
44          44          0.001       0.0320726   3%          
45          45          0.000807865 0.0328804   3%          
46          46          0.001       0.0338804   3%          
47          47          0.001       0.0348804   3%          
48          48          0.001       0.0358804   3%          
49          49          0.000631815 0.0365122   3%          
50          50          0.000631815 0.0371441   3%          
51          51          0.001       0.0381441   3%          
52          52          0.001       0.0391441   3%          
53          53          0.001       0.0401441   4%          
54          54          0.001       0.0411441   4%          
55          55          0.001       0.0421441   4%          
56          56          0.001       0.0431441   4%          
57          57          0.000993905 0.044138    4%          
58          58          0.001       0.045138    4%          
59          59          0.000902864 0.0460408   4%          
60          60          0.001       0.0470408   4%          
61          61          0.000737098 0.0477779   4%          
62          62          0.000737098 0.048515    4%          
63          63          0.001       0.049515    4%          
64          64          0.001       0.050515    5%          
65          65          0.001       0.051515    5%          
66          66          0.001       0.052515    5%          
67          67          0.001       0.053515    5%          
68          68          0.001       0.054515    5%          
69          69          0.001       0.055515    5%          
70          70          0.001       0.056515    5%          
71          71          0.001       0.057515    5%          
72          72          0.001       0.058515    5%          
73          73          0.001       0.059515    5%          
74          74          0.001       0.060515    6%          
75          75          0.001       0.061515    6%          
76          76          0.001       0.062515    6%          
77          77          0.001       0.063515    6%          
78          78          0.001       0.064515    6%          
79          79          0.001       0.065515    6%          
80          80          0.001       0.066515    6%          
81          81          0.001       0.067515    6%          
82          82          0.001       0.068515    6%          
83          83          0.001       0.069515    6%          
84          84          0.001       0.070515    7%          
85          85          0.001       0.071515    7%          
86          86          0.001       0.072515    7%          
87          87          0.001       0.073515    7%          
88          88          0.001       0.074515    7%          
89          89          0.001       0.075515    7%          
90          90          0.001       0.076515    7%          
91          91          0.001       0.077515    7%          
92          92          0.001       0.078515    7%          
93          93          0.001       0.079515    7%          
94          94          0.001       0.080515    8%          
95          95          0.001       0.081515    8%          
96          96          0.001       0.082515    8%          
97          97          0.001       0.083515    8%          
98          98          0.001       0.084515    8%          
99          99          0.001       0.085515    8%          
100         100         0.001       0.086515    8%          
101         101         0.001       0.087515    8%          
102         102         0.001       0.088515    8%          
103         103         0.001       0.089515    8%          
104         104         0.001       0.090515    9%          
105         105         0.001       0.091515    9%          
106         106         0.001       0.092515    9%          
107         107         0.001       0.093515    9%          
108         108         0.001       0.094515    9%          
109         109         0.001       0.095515    9%          
110         110         0.001       0.096515    9%          
111         111         0.001       0.097515    9%          
112         112         0.001       0.098515    9%          
113         113         0.001       0.099515    9%          
114         114         0.001       0.100515    10%         
115         115         0.001       0.101515    10%         
116         116         0.001       0.102515    10%         
117         117         0.001       0.103515    10%         
118         118         0.001       0.104515    10%         
119         119         0.001       0.105515    10%         
120         120         0.001       0.106515    10%         
121         121         0.001       0.107515    10%         
122         122         0.001       0.108515    10%         
123         123         0.001       0.109515    10%         
124         124         0.001       0.110515    11%         
125         125         0.001       0.111515    11%         
126         126         0.001       0.112515    11%         
127         127         0.000734888 0.11325     11%         
128         128         0.000734888 0.113985    11%         
129         129         0.000734888 0.11472     11%         
130         130         0.000734888 0.115455    11%         
131         131         0.000734888 0.116189    11%         
132         132         0.000734888 0.116924    11%         
133         133         0.000734888 0.117659    11%         
134         134         0.000734888 0.118394    11%         
135         135         0.000734888 0.119129    11%         
136         136         0.000734888 0.119864    11%         
137         137         0.001       0.120864    12%         
138         138         0.001       0.121864    12%         
139         139         0.001       0.122864    12%         
140         140         0.001       0.123864    12%         
141         141         0.001       0.124864    12%         
142         142         0.001       0.125864    12%         
143         143         0.001       0.126864    12%         
144         144         0.001       0.127864    12%         
145         145         0.001       0.128864    12%         
146         146         0.001       0.129864    12%         
147         147         0.001       0.130864    13%         
148         148         0.001       0.131864    13%         
149         149         0.001       0.132864    13%         
150         150         0.001       0.133864    13%         
151         151         0.001       0.134864    13%         
152         152         0.001       0.135864    13%         
153         153         0.001       0.136864    13%         
154         154         0.001       0.137864    13%         
155         155         0.001       0.138864    13%         
156         156         0.001       0.139864    13%         
157         157         0.001       0.140864    14%         
158         158         0.001       0.141864    14%         
159         159         0.000950355 0.142814    14%         
160         160         0.001       0.143814    14%         
161         161         0.001       0.144814    14%         
162         162         0.001       0.145814    14%         
163         163         0.001       0.146814    14%         
164         164         0.000983603 0.147798    14%         
165         165         0.000981421 0.148779    14%         
166         166         0.0009523   0.149732    14%         
167         167         0.0009523   0.150684    15%         
168         168         0.000949447 0.151633    15%         
169         169         0.000949447 0.152583    15%         
170         170         0.000949447 0.153532    15%         
171         171         0.000949447 0.154482    15%         
172         172         0.000949447 0.155431    15%         
173         173         0.000831715 0.156263    15%         
174         174         0.000803131 0.157066    15%         
175         175         0.000746354 0.157812    15%         
176         176         0.000742221 0.158555    15%         
177         177         0.000742221 0.159297    15%         
178         178         0.000742221 0.160039    16%         
179         179         0.000742221 0.160781    16%         
180         180         0.000742221 0.161523    16%         
181         181         0.000742221 0.162266    16%         
182         182         0.000742221 0.163008    16%         
183         183         0.000742221 0.16375     16%         
184         184         0.000742221 0.164492    16%         
185         185         0.000742221 0.165235    16%         
186         186         0.000742221 0.165977    16%         
187         187         0.000742221 0.166719    16%         
188         188         0.000742221 0.167461    16%         
189         189         0.000742221 0.168203    16%         
190         190         0.000742221 0.168946    16%         
191         191         0.000742221 0.169688    16%         
192         192         0.000742221 0.17043     17%         
193         193         0.000742221 0.171172    17%         
194         194         0.000742221 0.171915    17%         
195         195         0.000742221 0.172657    17%         
196         196         0.000742221 0.173399    17%         
197         197         0.000742221 0.174141    17%         
198         198         0.000742221 0.174883    17%         
199         199         0.000102938 0.174986    17%         
200         200         0.000102938 0.175089    17%         
201         201         0.000169907 0.175259    17%         
202         202         0.000169907 0.175429    17%         
203         203         0.000713169 0.176142    17%         
204         204         0.000622785 0.176765    17%         
205         205         0.001       0.177765    17%         
206         206         0.000982189 0.178747    17%         
207         207         0.000982189 0.179729    17%         
